ko00260	Glycine, serine and threonine metabolism	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
ko00280	Valine, leucine and isoleucine degradation	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation
ko00290	Valine, leucine and isoleucine biosynthesis	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis
ko00300	Lysine biosynthesis	Metabolism; Amino acid metabolism; Lysine biosynthesis
ko00310	Lysine degradation	Metabolism; Amino acid metabolism; Lysine degradation
ko00220	Arginine biosynthesis	Metabolism; Amino acid metabolism; Arginine biosynthesis
ko00330	Arginine and proline metabolism	Metabolism; Amino acid metabolism; Arginine and proline metabolism
ko00340	Histidine metabolism	Metabolism; Amino acid metabolism; Histidine metabolism
ko00350	Tyrosine metabolism	Metabolism; Amino acid metabolism; Tyrosine metabolism
ko00360	Phenylalanine metabolism	Metabolism; Amino acid metabolism; Phenylalanine metabolism
ko00380	Tryptophan metabolism	Metabolism; Amino acid metabolism; Tryptophan metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis
ko00410	beta-Alanine metabolism	Metabolism; Metabolism of other amino acids; beta-Alanine metabolism
ko00430	Taurine and hypotaurine metabolism	Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism
ko00440	Phosphonate and phosphinate metabolism	Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism
ko00450	Selenocompound metabolism	Metabolism; Metabolism of other amino acids; Selenocompound metabolism
ko00460	Cyanoamino acid metabolism	Metabolism; Metabolism of other amino acids; Cyanoamino acid metabolism
ko00471	D-Glutamine and D-glutamate metabolism	Metabolism; Metabolism of other amino acids; D-Glutamine and D-glutamate metabolism
ko00472	D-Arginine and D-ornithine metabolism	Metabolism; Metabolism of other amino acids; D-Arginine and D-ornithine metabolism
ko00473	D-Alanine metabolism	Metabolism; Metabolism of other amino acids; D-Alanine metabolism
ko00480	Glutathione metabolism	Metabolism; Metabolism of other amino acids; Glutathione metabolism
ko00510	N-Glycan biosynthesis	Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis
ko00513	Various types of N-glycan biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis
ko00512	Mucin type O-glycan biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Mucin type O-glycan biosynthesis
ko00515	Mannose type O-glycan biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Mannose type O-glycan biosynthesis
ko00514	Other types of O-glycan biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate 	
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin 	
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - keratan sulfate
ko00531	Glycosaminoglycan degradation	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series 	
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series 	
ko00604	Glycosphingolipid biosynthesis - ganglio series	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - ganglio series
ko00540	Lipopolysaccharide biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis
ko00550	Peptidoglycan biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis
ko00511	Other glycan degradation	Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation
ko00571	Lipoarabinomannan (LAM) biosynthesis	Metabolism; Glycan biosynthesis and metabolism; Lipoarabinomannan (LAM) biosynthesis
ko00572	Arabinogalactan biosynthesis - Mycobacterium	Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium
ko00730	Thiamine metabolism	Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism
ko00740	Riboflavin metabolism	Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism
ko00750	Vitamin B6 metabolism	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism
ko00760	Nicotinate and nicotinamide metabolism	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism
ko00770	Pantothenate and CoA biosynthesis	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
ko00780	Biotin metabolism	Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism
ko00785	Lipoic acid metabolism	Metabolism; Metabolism of cofactors and vitamins; Lipoic acid metabolism
ko00790	Folate biosynthesis	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis
ko00670	One carbon pool by folate	Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate
ko00830	Retinol metabolism	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism
ko00860	Porphyrin and chlorophyll metabolism	Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis
ko00900	Terpenoid backbone biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00902	Monoterpenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Monoterpenoid biosynthesis
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis
ko00904	Diterpenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Diterpenoid biosynthesis
ko00906	Carotenoid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis
ko00905	Brassinosteroid biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Brassinosteroid biosynthesis
ko00981	Insect hormone biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis
ko00908	Zeatin biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Zeatin biosynthesis
ko00903	Limonene and pinene degradation	Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation
ko00281	Geraniol degradation	Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation
ko01052	Type I polyketide structures	Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of 12-, 14- and 16-membered macrolides
ko01051	Biosynthesis of ansamycins	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of ansamycins
ko01059	Biosynthesis of enediyne antibiotics	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of enediyne antibiotics
ko01056	Biosynthesis of type II polyketide backbone	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of type II polyketide backbone
ko01057	Biosynthesis of type II polyketide products	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of type II polyketide products
ko00253	Tetracycline biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Tetracycline biosynthesis
ko00523	Polyketide sugar unit biosynthesis	Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis
ko01054	Nonribosomal peptide structures	Metabolism; Metabolism of terpenoids and polyketides; Nonribosomal peptide structures
ko01053	Biosynthesis of siderophore group nonribosomal peptides	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides
ko01055	Biosynthesis of vancomycin group antibiotics	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics
ko00940	Phenylpropanoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Stilbenoid, diarylheptanoid and gingerol biosynthesis
ko00941	Flavonoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Flavonoid biosynthesis
ko00944	Flavone and flavonol biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Flavone and flavonol biosynthesis
ko00942	Anthocyanin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Anthocyanin biosynthesis
ko00943	Isoflavonoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Isoflavonoid biosynthesis
ko00901	Indole alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Indole alkaloid biosynthesis
ko00403	Indole diterpene alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Indole diterpene alkaloid biosynthesis
ko00950	Isoquinoline alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis
ko01058	Acridone alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Acridone alkaloid biosynthesis
ko00232	Caffeine metabolism	Metabolism; Biosynthesis of other secondary metabolites; Caffeine metabolism
ko00965	Betalain biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis
ko00966	Glucosinolate biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Glucosinolate biosynthesis
ko00402	Benzoxazinoid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Benzoxazinoid biosynthesis
ko00311	Penicillin and cephalosporin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis
ko00332	Carbapenem biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis
ko00261	Monobactam biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis
ko00331	Clavulanic acid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Clavulanic acid biosynthesis
ko00521	Streptomycin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Neomycin, kanamycin and gentamicin biosynthesis
ko00525	Acarbose and validamycin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Acarbose and validamycin biosynthesis
ko00231	Puromycin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Puromycin biosynthesis
ko00401	Novobiocin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis
ko00404	Staurosporine biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Staurosporine biosynthesis
ko00405	Phenazine biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Phenazine biosynthesis
ko00333	Prodigiosin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis
ko00254	Aflatoxin biosynthesis	Metabolism; Biosynthesis of other secondary metabolites; Aflatoxin biosynthesis
ko00999	Biosynthesis of secondary metabolites - unclassified	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of secondary metabolites - unclassified
ko00362	Benzoate degradation	Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation
ko00627	Aminobenzoate degradation	Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation
ko00364	Fluorobenzoate degradation	Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation
ko00625	Chloroalkane and chloroalkene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation
ko00361	Chlorocyclohexane and chlorobenzene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation
ko00623	Toluene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation
ko00622	Xylene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation
ko00633	Nitrotoluene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation
ko00642	Ethylbenzene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Ethylbenzene degradation
ko00643	Styrene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation
ko00791	Atrazine degradation	Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation
ko00930	Caprolactam degradation	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation
ko00363	Bisphenol degradation	Metabolism; Xenobiotics biodegradation and metabolism; Bisphenol degradation
ko00621	Dioxin degradation	Metabolism; Xenobiotics biodegradation and metabolism; Dioxin degradation
ko00626	Naphthalene degradation	Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation
ko00624	Polycyclic aromatic hydrocarbon degradation	Metabolism; Xenobiotics biodegradation and metabolism; Polycyclic aromatic hydrocarbon degradation
ko00365	Furfural degradation	Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation
ko00984	Steroid degradation	Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation
ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450
ko00982	Drug metabolism - cytochrome P450	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450
ko00983	Drug metabolism - other enzymes	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko03020	RNA polymerase	Genetic Information Processing; Transcription; RNA polymerase
ko03022	Basal transcription factors	Genetic Information Processing; Transcription; Basal transcription factors
ko03040	Spliceosome	Brite Hierarchies; Protein families: genetic information processing; Spliceosome
ko03010	Ribosome	Brite Hierarchies; Protein families: genetic information processing; Ribosome
ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
ko03013	RNA transport	Genetic Information Processing; Translation; RNA transport
ko03015	mRNA surveillance pathway	Genetic Information Processing; Translation; mRNA surveillance pathway
ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes
ko03060	Protein export	Genetic Information Processing; Folding, sorting and degradation; Protein export
ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum
ko04130	SNARE interactions in vesicular transport	Genetic Information Processing; Folding, sorting and degradation; SNARE interactions in vesicular transport
ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis
ko04122	Sulfur relay system	Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system
ko03050	Proteasome	Brite Hierarchies; Protein families: genetic information processing; Proteasome
ko03018	RNA degradation	Genetic Information Processing; Folding, sorting and degradation; RNA degradation
ko03030	DNA replication	Genetic Information Processing; Replication and repair; DNA replication
ko03410	Base excision repair	Genetic Information Processing; Replication and repair; Base excision repair
ko03420	Nucleotide excision repair	Genetic Information Processing; Replication and repair; Nucleotide excision repair
ko03430	Mismatch repair	Genetic Information Processing; Replication and repair; Mismatch repair
ko03440	Homologous recombination	Genetic Information Processing; Replication and repair; Homologous recombination
ko03450	Non-homologous end-joining	Genetic Information Processing; Replication and repair; Non-homologous end-joining
ko03460	Fanconi anemia pathway	Genetic Information Processing; Replication and repair; Fanconi anemia pathway
ko02010	ABC transporters	Environmental Information Processing; Membrane transport; ABC transporters
ko02060	Phosphotransferase system (PTS)	Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS)
ko03070	Bacterial secretion system	Environmental Information Processing; Membrane transport; Bacterial secretion system
ko02020	Two-component system	Environmental Information Processing; Signal transduction; Two-component system
ko04014	Ras signaling pathway	Environmental Information Processing; Signal transduction; Ras signaling pathway
ko04015	Rap1 signaling pathway	Environmental Information Processing; Signal transduction; Rap1 signaling pathway
ko04010	MAPK signaling pathway	Environmental Information Processing; Signal transduction; MAPK signaling pathway
ko04013	MAPK signaling pathway - fly	Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly
ko04016	MAPK signaling pathway - plant	Environmental Information Processing; Signal transduction; MAPK signaling pathway - plant
ko04011	MAPK signaling pathway - yeast	Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast
ko04012	ErbB signaling pathway	Environmental Information Processing; Signal transduction; ErbB signaling pathway
ko04310	Wnt signaling pathway	Environmental Information Processing; Signal transduction; Wnt signaling pathway
ko04330	Notch signaling pathway	Environmental Information Processing; Signal transduction; Notch signaling pathway
ko04340	Hedgehog signaling pathway	Environmental Information Processing; Signal transduction; Hedgehog signaling pathway
ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing; Signal transduction; Hedgehog signaling pathway - fly
ko04350	TGF-beta signaling pathway	Environmental Information Processing; Signal transduction; TGF-beta signaling pathway
ko04390	Hippo signaling pathway	Environmental Information Processing; Signal transduction; Hippo signaling pathway
ko04391	Hippo signaling pathway - fly	Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly
ko04392	Hippo signaling pathway - multiple species	Environmental Information Processing; Signal transduction; Hippo signaling pathway - multiple species
ko04370	VEGF signaling pathway	Environmental Information Processing; Signal transduction; VEGF signaling pathway
ko04371	Apelin signaling pathway	Environmental Information Processing; Signal transduction; Apelin signaling pathway
ko04630	Jak-STAT signaling pathway	Environmental Information Processing; Signal transduction; Jak-STAT signaling pathway
ko04064	NF-kappa B signaling pathway	Environmental Information Processing; Signal transduction; NF-kappa B signaling pathway
ko04668	TNF signaling pathway	Environmental Information Processing; Signal transduction; TNF signaling pathway
ko04066	HIF-1 signaling pathway	Environmental Information Processing; Signal transduction; HIF-1 signaling pathway
ko04068	FoxO signaling pathway	Environmental Information Processing; Signal transduction; FoxO signaling pathway
ko04020	Calcium signaling pathway	Environmental Information Processing; Signal transduction; Calcium signaling pathway
ko04070	Phosphatidylinositol signaling system	Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system
ko04072	Phospholipase D signaling pathway	Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway
ko04071	Sphingolipid signaling pathway	Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway
ko04024	cAMP signaling pathway	Environmental Information Processing; Signal transduction; cAMP signaling pathway
ko04022	cGMP-PKG signaling pathway	Environmental Information Processing; Signal transduction; cGMP-PKG signaling pathway
ko04151	PI3K-Akt signaling pathway	Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway
ko04152	AMPK signaling pathway	Environmental Information Processing; Signal transduction; AMPK signaling pathway
ko04150	mTOR signaling pathway	Environmental Information Processing; Signal transduction; mTOR signaling pathway
ko04075	Plant hormone signal transduction	Environmental Information Processing; Signal transduction; Plant hormone signal transduction
ko04080	Neuroactive ligand-receptor interaction	Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction
ko04060	Cytokine-cytokine receptor interaction	Environmental Information Processing; Signaling molecules and interaction; Cytokine-cytokine receptor interaction
ko04512	ECM-receptor interaction	Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction
ko04514	Cell adhesion molecules (CAMs)	Environmental Information Processing; Signaling molecules and interaction; Cell adhesion molecules (CAMs)
ko04144	Endocytosis	Cellular Processes; Transport and catabolism; Endocytosis
ko04145	Phagosome	Cellular Processes; Transport and catabolism; Phagosome
ko04142	Lysosome	Cellular Processes; Transport and catabolism; Lysosome
ko04146	Peroxisome	Cellular Processes; Transport and catabolism; Peroxisome
ko04140	Autophagy - animal	Cellular Processes; Transport and catabolism; Autophagy - animal
ko04138	Autophagy - yeast	Cellular Processes; Transport and catabolism; Autophagy - yeast
ko04136	Autophagy - other	Cellular Processes; Transport and catabolism; Autophagy - other
ko04137	Mitophagy - animal	Cellular Processes; Transport and catabolism; Mitophagy - animal
ko04139	Mitophagy - yeast	Cellular Processes; Transport and catabolism; Mitophagy - yeast
ko04110	Cell cycle	Cellular Processes; Cell growth and death; Cell cycle
ko04111	Cell cycle - yeast	Cellular Processes; Cell growth and death; Cell cycle - yeast
ko04112	Cell cycle - Caulobacter	Cellular Processes; Cell growth and death; Cell cycle - Caulobacter
ko04113	Meiosis - yeast	Cellular Processes; Cell growth and death; Meiosis - yeast
ko04114	Oocyte meiosis	Cellular Processes; Cell growth and death; Oocyte meiosis
ko04210	Apoptosis	Cellular Processes; Cell growth and death; Apoptosis
ko04214	Apoptosis - fly	Cellular Processes; Cell growth and death; Apoptosis - fly
ko04215	Apoptosis - multiple species	Cellular Processes; Cell growth and death; Apoptosis - multiple species
ko04216	Ferroptosis	Cellular Processes; Cell growth and death; Ferroptosis
ko04217	Necroptosis	Cellular Processes; Cell growth and death; Necroptosis
ko04115	p53 signaling pathway	Cellular Processes; Cell growth and death; p53 signaling pathway
ko04218	Cellular senescence	Cellular Processes; Cell growth and death; Cellular senescence
ko04510	Focal adhesion	Cellular Processes; Cellular community - eukaryotes; Focal adhesion
ko04520	Adherens junction	Cellular Processes; Cellular community - eukaryotes; Adherens junction
ko04530	Tight junction	Cellular Processes; Cellular community - eukaryotes; Tight junction
ko04540	Gap junction	Cellular Processes; Cellular community - eukaryotes; Gap junction
ko04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells
ko02024	Quorum sensing	Cellular Processes; Cellular community - prokaryotes; Quorum sensing
ko05111	Biofilm formation - Vibrio cholerae	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae
ko02025	Biofilm formation - Pseudomonas aeruginosa	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa
ko02026	Biofilm formation - Escherichia coli	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli
ko02030	Bacterial chemotaxis	Cellular Processes; Cell motility; Bacterial chemotaxis
ko02040	Flagellar assembly	Cellular Processes; Cell motility; Flagellar assembly
	
