ko00010	Glycolysis / Gluconeogenesis
ko00940	Phenylpropanoid biosynthesis
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
ko00941	Flavonoid biosynthesis
ko00944	Flavone and flavonol biosynthesis
ko00942	Anthocyanin biosynthesis
ko00943	Isoflavonoid biosynthesis
ko00901	Indole alkaloid biosynthesis
ko00403	Indole diterpene alkaloid biosynthesis
ko00950	Isoquinoline alkaloid biosynthesis
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
ko01058	Acridone alkaloid biosynthesis
ko00232	Caffeine metabolism
ko00965	Betalain biosynthesis
ko00966	Glucosinolate biosynthesis
ko00402	Benzoxazinoid biosynthesis
ko00311	Penicillin and cephalosporin biosynthesis
ko00332	Carbapenem biosynthesis
ko00261	Monobactam biosynthesis
ko00331	Clavulanic acid biosynthesis
ko00521	Streptomycin biosynthesis
ko00524	Neomycin, kanamycin and gentamicin biosynthesis
ko00525	Acarbose and validamycin biosynthesis
ko00231	Puromycin biosynthesis
ko00401	Novobiocin biosynthesis
ko00404	Staurosporine biosynthesis
ko00405	Phenazine biosynthesis
ko00333	Prodigiosin biosynthesis
ko00254	Aflatoxin biosynthesis
ko00999	Biosynthesis of secondary metabolites - unclassified
ko00362	Benzoate degradation
ko00627	Aminobenzoate degradation
ko00364	Fluorobenzoate degradation
ko00625	Chloroalkane and chloroalkene degradation
ko00361	Chlorocyclohexane and chlorobenzene degradation
ko00623	Toluene degradation
ko00622	Xylene degradation
ko00633	Nitrotoluene degradation
ko00642	Ethylbenzene degradation
ko00643	Styrene degradation
ko00791	Atrazine degradation
ko00930	Caprolactam degradation
ko00363	Bisphenol degradation
ko00621	Dioxin degradation
ko00626	Naphthalene degradation
ko00624	Polycyclic aromatic hydrocarbon degradation
ko00365	Furfural degradation
ko00984	Steroid degradation
ko00980	Metabolism of xenobiotics by cytochrome P450
ko00982	Drug metabolism - cytochrome P450
ko00983	Drug metabolism - other enzymes
ko03020	RNA polymerase
ko03022	Basal transcription factors
ko03040	Spliceosome
ko03010	Ribosome
ko00970	Aminoacyl-tRNA biosynthesis
ko03013	RNA transport
ko03015	mRNA surveillance pathway
ko03008	Ribosome biogenesis in eukaryotes
ko03060	Protein export
ko04141	Protein processing in endoplasmic reticulum
ko04130	SNARE interactions in vesicular transport
ko04120	Ubiquitin mediated proteolysis
ko04122	Sulfur relay system
ko03050	Proteasome
ko03018	RNA degradation
ko03030	DNA replication
ko03410	Base excision repair
ko03420	Nucleotide excision repair
ko03430	Mismatch repair
ko03440	Homologous recombination
ko03450	Non-homologous end-joining
ko03460	Fanconi anemia pathway
ko02010	ABC transporters
ko02060	Phosphotransferase system (PTS)
ko03070	Bacterial secretion system
ko02020	Two-component system
ko04014	Ras signaling pathway
ko04015	Rap1 signaling pathway
ko04010	MAPK signaling pathway
ko04013	MAPK signaling pathway - fly
ko04016	MAPK signaling pathway - plant
ko04011	MAPK signaling pathway - yeast
ko04012	ErbB signaling pathway
ko04310	Wnt signaling pathway
ko04330	Notch signaling pathway
ko04340	Hedgehog signaling pathway
ko04341	Hedgehog signaling pathway - fly
ko04350	TGF-beta signaling pathway
ko04390	Hippo signaling pathway
ko04391	Hippo signaling pathway - fly
ko04392	Hippo signaling pathway - multiple species
ko04370	VEGF signaling pathway
ko04371	Apelin signaling pathway
ko04630	Jak-STAT signaling pathway
ko04064	NF-kappa B signaling pathway
ko04668	TNF signaling pathway
ko04066	HIF-1 signaling pathway
ko04068	FoxO signaling pathway
ko04020	Calcium signaling pathway
ko04070	Phosphatidylinositol signaling system
ko04072	Phospholipase D signaling pathway
ko04071	Sphingolipid signaling pathway
ko04024	cAMP signaling pathway
ko04022	cGMP-PKG signaling pathway
ko04151	PI3K-Akt signaling pathway
ko04152	AMPK signaling pathway
ko04150	mTOR signaling pathway
ko04075	Plant hormone signal transduction
ko04080	Neuroactive ligand-receptor interaction
ko04060	Cytokine-cytokine receptor interaction
ko04512	ECM-receptor interaction
ko04514	Cell adhesion molecules (CAMs)
ko04144	Endocytosis
ko04145	Phagosome
ko04142	Lysosome
ko04146	Peroxisome
ko04140	Autophagy - animal
ko04138	Autophagy - yeast
ko04136	Autophagy - other
ko04137	Mitophagy - animal
ko04139	Mitophagy - yeast
ko04110	Cell cycle
ko04111	Cell cycle - yeast
ko04112	Cell cycle - Caulobacter
ko04113	Meiosis - yeast
ko04114	Oocyte meiosis
ko04210	Apoptosis
ko04214	Apoptosis - fly
ko04215	Apoptosis - multiple species
ko04216	Ferroptosis
ko04217	Necroptosis
ko04115	p53 signaling pathway
ko04218	Cellular senescence
ko04510	Focal adhesion
ko04520	Adherens junction
ko04530	Tight junction
ko04540	Gap junction
ko04550	Signaling pathways regulating pluripotency of stem cells
ko02024	Quorum sensing
ko05111	Biofilm formation - Vibrio cholerae
ko02025	Biofilm formation - Pseudomonas aeruginosa
ko02026	Biofilm formation - Escherichia coli
ko02030	Bacterial chemotaxis
ko02040	Flagellar assembly

